Rank,Title,Year,Geek_Rating,Avg_Rating,Num_Voters,URL
444,Carpe Diem,2018,7.049,7.49,8783,https://boardgamegeek.com/boardgame/245934/carpe-diem
445,Pagan: Fate of Roanoke,2022,7.049,7.88,4860,https://boardgamegeek.com/boardgame/319910/pagan-fate-of-roanoke
446,Mysterium,2015,7.049,7.19,49008,https://boardgamegeek.com/boardgame/181304/mysterium
447,Blood Bowl: Team Manager – The Card Game,2011,7.048,7.40,11804,https://boardgamegeek.com/boardgame/90137/blood-bowl-team-manager-the-card-game
448,Daybreak,2023,7.046,7.68,6190,https://boardgamegeek.com/boardgame/334986/daybreak
449,BattleLore: Second Edition,2013,7.046,7.67,6610,https://boardgamegeek.com/boardgame/146439/battlelore-second-edition
450,Akropolis,2022,7.046,7.45,10256,https://boardgamegeek.com/boardgame/357563/akropolis
451,The Godfather: Corleone's Empire,2017,7.046,7.53,8540,https://boardgamegeek.com/boardgame/195539/the-godfather-corleones-empire
452,Agricola: All Creatures Big and Small,2012,7.044,7.32,14263,https://boardgamegeek.com/boardgame/119890/agricola-all-creatures-big-and-small
453,Ghost Stories,2008,7.042,7.25,21864,https://boardgamegeek.com/boardgame/37046/ghost-stories
454,The Resistance,2009,7.041,7.19,42633,https://boardgamegeek.com/boardgame/41114/the-resistance
455,Cartographers Heroes,2021,7.041,7.70,5892,https://boardgamegeek.com/boardgame/315767/cartographers-heroes
456,Imperium: Legends,2021,7.041,7.85,4922,https://boardgamegeek.com/boardgame/318182/imperium-legends
457,Pan Am,2020,7.040,7.53,8222,https://boardgamegeek.com/boardgame/303057/pan-am
458,For Northwood! A Solo Trick-Taking Game,2021,7.037,7.77,5242,https://boardgamegeek.com/boardgame/334590/for-northwood-a-solo-trick-taking-game
459,Chess,1475,7.037,7.24,40361,https://boardgamegeek.com/boardgame/171/chess
460,Shackleton Base: A Journey to the Moon,2024,7.035,8.02,3856,https://boardgamegeek.com/boardgame/408180/shackleton-base-a-journey-to-the-moon
461,Twice as Clever!,2019,7.033,7.41,10183,https://boardgamegeek.com/boardgame/269210/twice-as-clever
462,Rebirth,2024,7.033,7.76,5384,https://boardgamegeek.com/boardgame/417197/rebirth
463,The Pillars of the Earth,2006,7.032,7.26,18467,https://boardgamegeek.com/boardgame/24480/the-pillars-of-the-earth
464,Notre Dame,2007,7.031,7.31,13802,https://boardgamegeek.com/boardgame/25554/notre-dame
465,Newton,2018,7.029,7.50,8004,https://boardgamegeek.com/boardgame/244711/newton
466,Bus,1999,7.029,7.70,5324,https://boardgamegeek.com/boardgame/552/bus
467,Star Wars: Armada,2015,7.028,7.81,5714,https://boardgamegeek.com/boardgame/163745/star-wars-armada
468,Finspan,2025,7.028,7.68,6568,https://boardgamegeek.com/boardgame/436126/finspan
469,Fall of Rome,2018,7.027,7.59,6972,https://boardgamegeek.com/boardgame/260428/fall-of-rome
470,Unsettled,2021,7.026,8.06,3814,https://boardgamegeek.com/boardgame/290484/unsettled
471,Honey Buzz,2020,7.026,7.49,8679,https://boardgamegeek.com/boardgame/284742/honey-buzz
472,IKI,2015,7.025,7.59,6772,https://boardgamegeek.com/boardgame/177478/iki
473,Imperial Struggle,2020,7.022,8.22,3358,https://boardgamegeek.com/boardgame/206480/imperial-struggle
474,Altiplano,2017,7.021,7.42,9713,https://boardgamegeek.com/boardgame/234487/altiplano
475,Arkham Horror,2005,7.020,7.24,40415,https://boardgamegeek.com/boardgame/15987/arkham-horror
476,At the Gates of Loyang,2009,7.019,7.35,11677,https://boardgamegeek.com/boardgame/39683/at-the-gates-of-loyang
477,Kutná Hora: The City of Silver,2023,7.019,7.76,5370,https://boardgamegeek.com/boardgame/385610/kutna-hora-the-city-of-silver
478,51st State: Master Set,2016,7.019,7.54,7644,https://boardgamegeek.com/boardgame/192458/51st-state-master-set
479,Ezra and Nehemiah,2024,7.018,8.15,3329,https://boardgamegeek.com/boardgame/386368/ezra-and-nehemiah
480,Gùgōng,2018,7.018,7.42,9599,https://boardgamegeek.com/boardgame/250458/gugong
481,Saint Petersburg,2004,7.018,7.27,16547,https://boardgamegeek.com/boardgame/9217/saint-petersburg
482,World Wonders,2023,7.018,7.60,6815,https://boardgamegeek.com/boardgame/365258/world-wonders
483,Descent: Legends of the Dark,2021,7.016,7.89,5829,https://boardgamegeek.com/boardgame/322708/descent-legends-of-the-dark
484,Hannibal: Rome vs. Carthage,1996,7.015,7.78,5054,https://boardgamegeek.com/boardgame/234/hannibal-rome-vs-carthage
485,Lords of Hellas,2018,7.015,7.60,7669,https://boardgamegeek.com/boardgame/222509/lords-of-hellas
486,Boonlake,2021,7.013,7.61,6157,https://boardgamegeek.com/boardgame/343905/boonlake
487,"Unmatched: Battle of Legends, Volume Two",2021,7.013,8.20,3442,https://boardgamegeek.com/boardgame/335764/unmatched-battle-of-legends-volume-two
488,Skull,2011,7.011,7.17,28368,https://boardgamegeek.com/boardgame/92415/skull
489,Horizons of Spirit Island,2022,7.011,8.13,3375,https://boardgamegeek.com/boardgame/367498/horizons-of-spirit-island
490,King of Tokyo,2011,7.009,7.11,75744,https://boardgamegeek.com/boardgame/70323/king-of-tokyo
491,Earthborne Rangers,2023,7.007,8.07,3976,https://boardgamegeek.com/boardgame/342900/earthborne-rangers
492,Dice Forge,2017,7.007,7.21,24430,https://boardgamegeek.com/boardgame/194594/dice-forge
493,London (Second Edition),2017,7.006,7.48,7873,https://boardgamegeek.com/boardgame/236191/london-second-edition
494,Trio,2021,7.005,7.38,11291,https://boardgamegeek.com/boardgame/352515/trio
495,Mage Wars Arena,2012,7.004,7.56,8022,https://boardgamegeek.com/boardgame/101721/mage-wars-arena
496,Hitster,2022,7.003,7.52,7315,https://boardgamegeek.com/boardgame/318243/hitster
497,Life of the Amazonia,2023,7.003,8.10,3433,https://boardgamegeek.com/boardgame/368305/life-of-the-amazonia
498,Zombicide: 2nd Edition,2021,7.002,7.92,5235,https://boardgamegeek.com/boardgame/286751/zombicide-2nd-edition
499,Blitzkrieg!: World War Two in 20 Minutes,2019,7.001,7.54,6811,https://boardgamegeek.com/boardgame/258210/blitzkrieg-world-war-two-in-20-minutes
500,Scholars of the South Tigris,2023,7.001,8.02,3638,https://boardgamegeek.com/boardgame/367041/scholars-of-the-south-tigris
501,Codenames: Pictures,2016,6.999,7.18,25079,https://boardgamegeek.com/boardgame/198773/codenames-pictures
502,Unmatched Adventures: Tales to Amaze,2023,6.999,7.94,4251,https://boardgamegeek.com/boardgame/381297/unmatched-adventures-tales-to-amaze
503,The LOOP,2020,6.998,7.70,5576,https://boardgamegeek.com/boardgame/316412/the-loop
504,Massive Darkness 2: Hellscape,2022,6.997,7.99,4275,https://boardgamegeek.com/boardgame/315610/massive-darkness-2-hellscape
505,Knarr,2023,6.996,7.47,7939,https://boardgamegeek.com/boardgame/379629/knarr
506,Cubitos,2021,6.996,7.36,10750,https://boardgamegeek.com/boardgame/298069/cubitos
507,Spartacus: A Game of Blood and Treachery,2012,6.996,7.47,9543,https://boardgamegeek.com/boardgame/128671/spartacus-a-game-of-blood-and-treachery
508,In the Year of the Dragon,2007,6.996,7.29,12616,https://boardgamegeek.com/boardgame/31594/in-the-year-of-the-dragon
509,Downforce,2017,6.994,7.26,15187,https://boardgamegeek.com/boardgame/215311/downforce
510,Azul: Stained Glass of Sintra,2018,6.994,7.28,15021,https://boardgamegeek.com/boardgame/256226/azul-stained-glass-of-sintra
511,Ticket to Ride: Märklin,2006,6.993,7.41,9369,https://boardgamegeek.com/boardgame/21348/ticket-to-ride-marklin
512,Caper: Europe,2022,6.993,7.62,5926,https://boardgamegeek.com/boardgame/328565/caper-europe
513,Endeavor,2009,6.990,7.37,9689,https://boardgamegeek.com/boardgame/33160/endeavor
514,Biblios,2007,6.988,7.19,18409,https://boardgamegeek.com/boardgame/34219/biblios
515,Libertalia: Winds of Galecrest,2022,6.987,7.44,8529,https://boardgamegeek.com/boardgame/356033/libertalia-winds-of-galecrest
516,King of Tokyo: Dark Edition,2020,6.986,7.65,6096,https://boardgamegeek.com/boardgame/293141/king-of-tokyo-dark-edition
517,Die Macher,1986,6.985,7.58,6008,https://boardgamegeek.com/boardgame/1/die-macher
518,The Great Wall,2021,6.985,7.79,5151,https://boardgamegeek.com/boardgame/292375/the-great-wall
519,Firefly: The Game,2013,6.985,7.38,12596,https://boardgamegeek.com/boardgame/138161/firefly-the-game
520,San Juan (Second Edition),2014,6.985,7.44,7866,https://boardgamegeek.com/boardgame/166669/san-juan-second-edition
